杰 961432904 所有单即将炒完，请速下单，八点整结束下单 1728756407
老谭 961432904 我个人的意见是，不能屏蔽甚至嘲讽与主流观点不一致的思潮甚至定义为极端思潮，应该去辩论，用自己认为正确的思想影响错误的观念。 1728784593
音游 961432904 喜欢音游的男生都是什么心理？woc，我实在忍不住了，没法理解来问这个问题。我舍友，喜欢音乐，玩音游，这些都还能理解。但是他一直在街机厅玩一个游戏，内容大致是这样的：八个按键放在屏幕的外圈，还会一直亮，屏幕中间有一直在变的数字（猜测应该是分数），然后有一堆东西从中间往四周跑，然后我舍友一直在抓，还经常对着屏幕大吼，看起来简直像个疯子，完全无法理解，有懂得兄弟吗，来解释解释，这种游戏到底玩点是啥，又有啥好生气的能气的那么恼火 1728784791
急眼 961432904 飞舞 1728784947
换行 971283250 1\n2 1728785563
酥焙篝 961432904 ITO 1728785710
妄想 961432904 ITO*27 1728790761
你是谁 961432904 奶龙 1728792455
疯了吧 961432904 喜欢二次元 1728795319
2.797 961432904 董洋 1728802443
加 961432904 郑翰永 1729330097
董洋 961432904 2.797 1729330928
谢谢 961432904 ‎ 1729331001
盗摄 961432904 @盗摄的酥焙篝 1729331407
术力口 961432904 日本人在术曲里放了迷魂药，术力口是日本人的诡计，术力口让人得了斯德哥尔摩，术力口是万恶之源，术力口支配了人的思想，术力口从内在腐化人的内心乃至人格，等你回过神来想戒掉术力口时，发现你的年度歌手已然变成初音未来。 1729333788
水鱼传分 961432904 @Itumbler您的水鱼数据更新成功！\n你这rating也没变啊，更新它干啥？我看看你有没有歌曲的成绩变了吧……\n哎呀，您的成绩都没有提升呢……\n今日成绩提升最多的用户是ItoZ，提升了185分\n过去一周成绩提升最多的用户是songcf，提升了429分 1729334986
群主是谁 961432904 [CQ:image,file=https://img.picui.cn/free/2024/10/20/671512d054f5f.jpg] 1729434687
李树文 1004763270 什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？什么时候彩框？ 1729527395
盐城 1004763270 盐城中学郑翰永，化学竞赛真悍勇！ 1729527461
震撼蛹是谁 1004763270 [CQ:image,file=https://img.picui.cn/free/2024/10/20/671512d054f5f.jpg] 1729563702
郑哥(.)(.*)加油 1004763270 \1\2\1的 1729563915
(.**)(.)(.*) 1004763270 \1，\2，\3 1729564056
？ 1004763270 暂时不能给你明确的答复！ 1729564089
123 971283250 [CQ:at,qq=2927143611] 1729684610
海底 961432904 错位是什么梗 1729699374
震撼涌 961432904 寺庙 1729838961
掼蛋 1004763270 掼蛋的都是苏北狗 1730197435
晓极牌 1004763270 不如郑哥 1730197483
zhy2是什么歌 1004763270 妄想感傷代償联盟 1730197588
苏小北 1004763270 酥焙篝 1730209563
恭喜郑哥(.*) 726974420 今天是舞萌大神ITO取得\1的日子，生活中的酸甜苦辣，记录着命运的轨迹，轨迹留下你的影子，\1到来之际，送给你的祝愿最诚挚，衷心祝你大吉大利，顺心如意。只有尊重自己的人，才能够更勇于缩小自己，通过退让来成全别人，非愚即智。梦自己想梦的，做自己想做的，因为生命只有一次，机会不会再来。人生苦短，咱们何必计较得失，有爱就有梦。每个人都有一番不一样的经历，每个人都是一部新鲜的故事。懂得珍惜，风雨兼程的日子，有你有我也有他。\n最后，祝ITO早日晓极 1730444576
恭喜郑哥(.*) 961432904 今天是舞萌大神ITO取得\1的日子，生活中的酸甜苦辣，记录着命运的轨迹，轨迹留下你的影子，\1到来之际，送给你的祝愿最诚挚，衷心祝你大吉吉，顺心如意。只有尊重自己的人，才能够更勇于缩小自己，通过退让来成全别人，非愚即智。梦自己想梦的，做自己想做的，因为生命只有一次，机会不会再来。人生苦短，咱们何必计较得失，有爱就有做。每个人都有一番不一样的经历，每个人都是一部新鲜的故事。懂得珍惜，风雨兼程的日子，有你有我也有他。\n最后，祝ITO早日晓极 1730444823
舞萌 757669398 哥哥，你是不是觉得最近打舞萌很累，感觉肌肉使不上力气？对不起，我在你的水里加了雌二醇。我真的嫉妒你，拍了几个月屏幕就推分彩框了，我不管怎么努力都跟不上你的底力提升速度。我之前说我不在乎，我骗你的，我嫉妒死你了，为什么你天赋这么强我却这么菜。所以我没忍住，哥哥，真的对不起，如果你还想吃糖可以找我要。 1730466893
感觉 757669398 感觉不如原神 1730524306
jumping 757669398 “我永远忘不了2024.11.3号，这个属于Faker的日子。”“你也看英雄联盟吗？”“我是说姜萍数学造假的事情。” 1730633771
郑哥(.)(.*)加油 757669398 \1\2\1的 1730633831
原神 757669398 怎么你了 1730635983
几点了 757669398 苏北狗下班了 1730636017
化小曲 757669398 你走错了，这里是γchem 1730636056
郑哥 757669398 郑哥大学加油 1730636098
狗头 961432904 你似乎认为成功是很平常的事情。 1730700709
老爷爷 757669398 我给你踩背来咯 1730815500
